RESUM DEL PROJECTE [aQuiTries]
src/components/GeneratedAvatar.jsx - 129 línies
src/components/ReflectionModal.jsx - 141 línies
src/components/ScenarioScreen.jsx - 178 línies
src/components/SceneBackground.jsx - 36 línies
src/components/SelectionCounter.jsx - 25 línies
src/components/SkillBar.jsx - 24 línies
src/components/StartScreen.jsx - 293 línies
src/components/guided/StudentJoin.jsx - 95 línies
src/components/guided/StudentResultsView.jsx - 15 línies
src/components/guided/StudentScenarioWrapper.jsx - 56 línies
src/components/guided/StudentWaiting.jsx - 35 línies
src/components/guided/TeacherLobby.jsx - 88 línies
src/components/guided/TeacherResultsView.jsx - 155 línies
src/components/guided/TeacherRoundView.jsx - 57 línies
src/data/scenarios.json - 9002 línies
src/data/scenarios_es.json - 9002 línies
src/firebase/config.js - 14 línies
src/firebase/roomService.js - 224 línies
src/hooks/useGuidedRoom.js - 306 línies
src/hooks/useScenarioManager.js - 134 línies
src/i18n/ca.js - 310 línies
src/i18n/es.js - 310 línies
src/i18n/index.jsx - 33 línies
src/styles/background.css - 38 línies
src/styles/characters.css - 398 línies
src/styles/global.css - 500 línies
src/styles/guided.css - 712 línies
src/styles/modal.css - 262 línies
src/styles/scenario.css - 256 línies
src/utils/getScenarios.js - 13 línies
src/utils/shuffle.js - 12 línies

==================================================
FITXERS I CARPETES IGNORATS
==================================================
.claude (ignorat)
.env (ignorat)
.env.example (ignorat)
.git (ignorat)
.github (ignorat)
.gitignore (ignorat)
dist (ignorat)
node_modules (ignorat)

==================================================
TOTAL: 49136 línies en 122 fitxers
